Date,Open,High,Low,Close,Adj Close,Volume,NextClose,Num
2019-12-30,77.470001,78.099998,77.18,78.080002,78.080002,2342000,78.419998,137
2019-12-31,77.940002,78.440002,77.779999,78.419998,78.419998,1714900,78.589996,138
2020-01-02,78.879997,78.889999,77.93,78.589996,78.589996,3392700,78.169998,139
2020-01-03,78.059998,78.43,77.470001,78.169998,78.169998,1831900,78.620003,140
2020-01-06,78.129997,78.849998,77.970001,78.620003,78.620003,2675300,78.919998,141
2020-01-07,78.57,79.510002,78.150002,78.919998,78.919998,3262400,79.419998,142
2020-01-08,79.220001,79.790001,78.080002,79.419998,79.419998,3037400,79.809998,143
2020-01-09,79.769997,80.330002,79.400002,79.809998,79.809998,2981900,79,144
2020-01-10,80.209999,80.209999,78.849998,79,79,2224800,79.400002,145
2020-01-13,79.169998,79.559998,78.889999,79.400002,79.400002,2283400,79.800003,146
2020-01-14,79.169998,79.949997,78.860001,79.800003,79.800003,2050100,80.269997,147
2020-01-15,79.860001,80.480003,79.620003,80.269997,80.269997,1612300,81.440002,148
2020-01-16,80.269997,81.519997,80.269997,81.440002,81.440002,3109300,82.150002,149
2020-01-17,81.949997,82.239998,81.57,82.150002,82.150002,3559600,82.029999,150
2020-01-21,81.989998,82.949997,81.800003,82.029999,82.029999,3612000,82.489998,151
2020-01-22,82.139999,83.029999,82.07,82.489998,82.489998,1672500,82.18,152
2020-01-23,82.300003,82.370003,81.949997,82.18,82.18,1754900,81.580002,153
2020-01-24,82.290001,82.589996,81.330002,81.580002,81.580002,1596500,80.720001,154
2020-01-27,80.889999,81.550003,80.379997,80.720001,80.720001,1934600,81.660004,155
2020-01-28,81.080002,82.300003,80.93,81.660004,81.660004,2395000,80.260002,156
2020-01-29,81.870003,81.889999,80.089996,80.260002,80.260002,2602400,80.940002,157
2020-01-30,79.589996,81.050003,79.580002,80.940002,80.940002,2352700,79.190002,158
2020-01-31,80.589996,80.790001,79.160004,79.190002,79.190002,2863600,79.459999,159
2020-02-03,80.360001,80.760002,79.330002,79.459999,79.459999,2879800,81.510002,160
2020-02-04,80.150002,81.889999,79.230003,81.510002,81.510002,4597800,81.790001,161
2020-02-05,81.959999,82.709999,81.75,81.790001,81.790001,2758800,82.769997,162
2020-02-06,82.129997,83.080002,82,82.769997,82.769997,2976200,85.440002,163
2020-02-07,83.370003,85.790001,82.260002,85.440002,85.440002,6740600,84.529999,164
2020-02-10,85.410004,85.650002,84.379997,84.529999,84.529999,3423100,94.489998,165
2020-02-11,93.699997,95.230003,92.660004,94.489998,94.489998,25874400,95.669998,166
2020-02-12,94,96.269997,93.919998,95.669998,95.669998,8915500,95.139999,167
2020-02-13,95.120003,96.150002,94.800003,95.139999,95.139999,5490500,96.480003,168
2020-02-14,95.260002,96.620003,95.019997,96.480003,96.480003,3045900,99.879997,169
2020-02-18,96.849998,100.019997,96.279999,99.879997,99.879997,7460100,100.489998,170
2020-02-19,101.160004,101.349998,99.639999,100.489998,100.489998,6091300,99.5,171
2020-02-20,100.099998,100.419998,98.230003,99.5,99.5,6350400,98.57,172
2020-02-21,98.970001,99.489998,96.620003,98.57,98.57,12101000,96.370003,173
2020-02-24,96.129997,97.309998,95.879997,96.370003,96.370003,4700900,94.580002,174
